Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
185,"X Wang, R Gorlitsky, JS Almeida","From XML to RDF: how semantic web technologies will change the design of'omic'standards",2005,"Nature biotechnology","nature.com","https://www.nature.com/articles/nbt1139","https://scholar.google.com/scholar?cites=4383453585270384179&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,185,13.21,62,3,14
8,"â€¦, EGS Paige, LOD Sucharov","Spatial-light-modulator-based three-dimensional multiplanar display",1997,"â€¦Â Displays and VirtualÂ â€¦","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/3012/0000/Spatial-light-modulator-based-three-dimensional-multiplanar-display/10.1117/12.274495.short","https://scholar.google.com/scholar?cites=3710444397877998440&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,8,0.36,3,3,22
20,"K Hilbert, G Brunnett","A hybrid LOD based rendering approach for dynamic scenes",2004,"","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1309221/","https://scholar.google.com/scholar?cites=2363180464371920309&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","BOOK","","","",,,,,20,1.33,10,2,15
37,"R Qin","Change detection on LOD 2 building models with very high resolution spaceborne stereo imagery",2014,"ISPRS journal of photogrammetry and remote sensing","Elsevier","https://www.sciencedirect.com/science/article/pii/S0924271614001816","https://scholar.google.com/scholar?cites=4570053347679234474&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,37,7.40,37,1,5
36,"S Armenta, NMM Coelho, R Roda, S Garrigues, ...","Seafood freshness determination through vapour phase Fourier transform infrared spectroscopy",2006,"Analytica chimicaÂ â€¦","Elsevier","https://www.sciencedirect.com/science/article/pii/S0003267006016485","https://scholar.google.com/scholar?cites=13171650138437902484&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,36,2.77,7,5,13
359,"A Roth, A Moshovos, GS Sohi","Dependence based prefetching for linked data structures",1998,"ACM SIGOPS Operating Systems Review","dl.acm.org","https://dl.acm.org/citation.cfm?id=291034","https://scholar.google.com/scholar?cites=12132014537813960350&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,359,17.10,120,3,21
17,"J He, XH Sun, R Thakur","Knowac: I/o prefetch via accumulated knowledge",2012,"2012 IEEE International ConferenceÂ â€¦","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6337806/","https://scholar.google.com/scholar?cites=9215440015727149418&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,17,2.43,6,3,7
38,"B Xu, Y Xu, J Liang, C Xie, B Liang, W Cui, ...","CN-DBpedia: a never-ending Chinese knowledge extraction system",2017,"â€¦Â Conference on IndustrialÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-3-319-60045-1_44","https://scholar.google.com/scholar?cites=12491687886054392390&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,38,19.00,5,7,2
158,"V Matamoros, A Duhec, J AlbaigÃ©s, ...","Photodegradation of carbamazepine, ibuprofen, ketoprofen and 17Î±-ethinylestradiol in fresh and seawater",2009,"Water, air, and soilÂ â€¦","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11270-008-9765-1&casa_token=qbaJyFAuuZMAAAAA:Q4azqq-iAER2ynrKF_3mtTolsFYW-TbOcCSyK9t_qML4T3NcQISj5gr27j4p_zZNWESK6Iryex9J3OY_evs","https://scholar.google.com/scholar?cites=16398917596307620853&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","HTML","","","",,,,,158,15.80,40,4,10
384,"C Bizer","The emerging web of linked data",2009,"IEEE intelligent systems","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5286174/","https://scholar.google.com/scholar?cites=17034727756850553609&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-21 18:19:59","","","","",,,,,384,38.40,384,1,10
