Title,Year,Source,Publisher,ArticleURL,CitesURL,Type
Ontology versioning and change detection on the web,2002,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/3-540-45810-7_20,"https://scholar.google.com/scholar?cites=38494995876009699&as_sdt=2005&sciodt=0,5&hl=en",
Tracking changes in RDF (S) repositories,2002,International Conference on Knowledge …,Springer,https://link.springer.com/chapter/10.1007/3-540-45810-7_33,"https://scholar.google.com/scholar?cites=3381575130507607756&as_sdt=2005&sciodt=0,5&hl=en",
Supporting evolving ontologies on the internet,2002,International Conference on Extending Database …,Springer,https://link.springer.com/chapter/10.1007/3-540-36128-6_39,"https://scholar.google.com/scholar?cites=4432201776144302502&as_sdt=2005&sciodt=0,5&hl=en",
Delta: an ontology for the distribution of differences between RDF graphs,2004,"World Wide Web, http://www. w3. org …",w3.org,http://www.w3.org/DesignIssues/lncs04/Diff.pdf,"https://scholar.google.com/scholar?cites=10078117570748099294&as_sdt=2005&sciodt=0,5&hl=en",PDF
Temporal rdf,2005,European Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/11431053_7,"https://scholar.google.com/scholar?cites=14006124326959458352&as_sdt=2005&sciodt=0,5&hl=en",
Ontology change detection using a version log,2005,International Semantic Web Conference,Springer,https://link.springer.com/chapter/10.1007/11574620_42,"https://scholar.google.com/scholar?cites=5750464214230742914&as_sdt=2005&sciodt=0,5&hl=en",
A versioning and evolution framework for RDF knowledge bases,2006,International Andrei Ershov Memorial Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-540-70881-0_8,"https://scholar.google.com/scholar?cites=16649692707521188221&as_sdt=2005&sciodt=0,5&hl=en",
SemVersion: An RDF-based ontology versioning system,2006,… of the IADIS international conference WWW …,researchgate.net,https://www.researchgate.net/profile/Max_Voelkel/publication/228623191_SemVersion_RDF-based_ontology_versioning_system/links/02bfe51389b72193c7000000/SemVersion-RDF-based-ontology-versioning-system.pdf,"https://scholar.google.com/scholar?cites=4085784553673385451&as_sdt=2005&sciodt=0,5&hl=en",PDF
On the foundations of computing deltas between RDF models,2007,The Semantic Web,Springer,https://link.springer.com/chapter/10.1007/978-3-540-76298-0_46,"https://scholar.google.com/scholar?cites=14285036998289280309&as_sdt=2005&sciodt=0,5&hl=en",
Version Control for RDF Triple Stores.,2007,ICSOFT (ISDM/EHST/DC),researchgate.net,https://www.researchgate.net/profile/Steve_Cassidy/publication/220738282_Version_Control_for_RDF_Triple_Stores/links/09e4150d3fc5cdfa43000000/Version-Control-for-RDF-Triple-Stores.pdf,"https://scholar.google.com/scholar?cites=17304622011329742784&as_sdt=2005&sciodt=0,5&hl=en",PDF
Ontology evolution: A framework and its application to rdf,2007,Proceedings of the Joint …,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.352.5886&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=4253081481842754647&as_sdt=2005&sciodt=0,5&hl=en",PDF
RDFSync: efficient remote synchronization of RDF models,2007,The Semantic Web,Springer,https://link.springer.com/chapter/10.1007/978-3-540-76298-0_39,"https://scholar.google.com/scholar?cites=1947618673821083049&as_sdt=2005&sciodt=0,5&hl=en",
